alleluja,amen,bo,boga,bogiem,bogu,boże,bóg,chcę,chwała,chwałę,ci,ciebie,cię,czas,cześć,daj,dobry,duch,duchu,dzień,gdy,go,imię,jak,jego,jesteś,jezu,jezus,królem,miłości,miłość,moc,mym,nie,nieba,niech,nim,on,pan,pana,panem,panie,panu,pieśń,przyjdź,serca,serce,siebie,swe,swej,swym,swą,tobie,tobą,twa,twe,twej,twych,twym,twój,ty,tyś,wciąż,wieki,ziemi,świat,święty,życie
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2539112282590899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34158360398261023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49268164802909625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6706332666104018,0.0,0.3554793173519481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4918800077267173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2158305368354179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3922497048341209,0.0,0.0,0.0,0.0,0.2669631616401685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6973823031542529,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05995282149110723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14347593567613692,0.2915087262107553,0.07812732859761104,0.37202648571207647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07173796783806846,0.0,0.0,0.0,0.3597169289466433,0.05634330887196409,0.777197829543598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676886428639053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0940255006078537,0.0,0.0,0.0,0.0,0.12599020790308985,0.0,0.0,0.0,0.0,0.0,0.0,0.0940255006078537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10557576210457648,0.0,0.0,0.0,0.9642828623618336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12329439698457495,0.0,0.0,0.0,0.10127037803295723,0.0
0.0,0.0,0.0,0.31590518899241515,0.0,0.0,0.0,0.0,0.0,0.0,0.16797224887787623,0.0,0.0,0.0,0.0,0.14284422367340757,0.0,0.0,0.0,0.0,0.0,0.0,0.29007002664250553,0.2946763984496545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24241718926961855,0.0,0.28568844734681514,0.49313444624531316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29007002664250553,0.0,0.0,0.0,0.0,0.0,0.15233248391565743,0.3287562974968754,0.28568844734681514,0.0,0.0,0.0,0.0
0.555891988107516,0.0,0.0,0.05451989559498137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5423549644401735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08653756000479469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04858399470948198,0.0,0.0,0.03931826893757634,0.591659961207462,0.0,0.0,0.11347555937837177,0.05351962923838375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056737779689185884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11595668309070942,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5702644370117064,0.0,0.22352694769312464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392136893699289,0.0,0.0,0.17966998285174382,0.0,0.0,0.22872615091718013,0.0,0.0,0.0,0.0,0.0,0.41267407954279867,0.0,0.0,0.0,0.0,0.0,0.0,0.13365359640160102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16491931739307458,0.0,0.0,0.3860070226231431,0.0,0.0,0.0,0.0,0.148670423292244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4436356591213906,0.0,0.0,0.8485492565970484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2883601239501152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.08316487890501564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345447823015812,0.0,0.0,0.0660023796817098,0.0,0.0,0.0,0.0,0.0,0.0,0.07411023063492296,0.0,0.0,0.08163906838187775,0.0,0.08479599854458557,0.3829110168352341,0.41983377398003696,0.07521005021772616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08163906838187775,0.16959199708917114,0.0865480486654665,0.173096097330933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5264703515240831,0.0,0.0,0.07108801227571687,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3043339330485352,0.0,0.3698252025623962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2765477424084912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38346942656799843,0.0,0.0,0.7396504051247924,0.0,0.0,0.0,0.0,0.0,0.0
